id,country,day,month,name_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,date_mdy
55,São Tomé and Príncipe,12.0,Jul,Independence Day,1975.0,Portugal,"Effective date of the agreement with Portugal reached on November 26, 1974[78][79]",7/12/1975
56,"Bahamas, The",10.0,Jul,Independence Day,1973.0,United Kingdom,Effective date of The Bahamas Independence Order 1973[13],7/10/1973
57,Barbados,30.0,Nov,Independence Day,1966.0,United Kingdom,Effective date of the Barbados Independence Act 1966,11/30/1966
58,Botswana,30.0,Sep,Independence Day,1966.0,United Kingdom,Effective date of the Botswana Independence Act 1966[19],9/30/1966
59,Micronesia,3.0,Nov,Independence Day,1986.0,United States,Effective date of the Compact of Free Association,11/3/1986
60,Czech Republic,1.0,Jan,Restoration Day,1993.0,Czechoslovakia,Effective date of the Dissolution of Czechoslovakia into Czech Republic and Slovakia[53],1/1/1993
61,Iceland,17.0,Jun,Independence Day,1944.0,Denmark,Effective date of the dissolution of the Danish–Icelandic Act of Union following the 1944 Icelandic constitutional referendum[59],6/17/1944
62,"Gambia, The",18.0,Feb,Independence Day,1965.0,United Kingdom,Effective date of the Gambia Independence Act 1964,2/18/1965
63,India,15.0,Aug,Independence Day,1947.0,United Kingdom,Effective date of the Indian Independence Act 1947,8/15/1947
64,Pakistan,14.0,Aug,Independence Day (Youm-e-Azadi),1947.0,United Kingdom,Effective date of the Indian Independence Act 1947;[71] see also: Pakistan Day (March 23),8/14/1947
65,Zimbabwe,18.0,Apr,Independence Day,1980.0,United Kingdom,Effective date of the Lancaster House Agreement,4/18/1980
66,Cyprus,1.0,Oct,Independence Day,1960.0,United Kingdom,"Effective date of the London-Zürich Agreements was August 16, 1960, but the public holiday was moved to October 1 to avoid summer heat and tourist season.[50]",10/1/1960
67,"Congo, Democratic Republic of the",30.0,Jun,Independence Day,1960.0,Belgium,"Effective date of the Treaty of Friendship, Assistance and Co-operation between Belgium and the Congo concluded on June 29, 1960[42]",6/30/1960
68,Trinidad and Tobago,31.0,Aug,Independence Day,1962.0,United Kingdom,Effective date of the Trinidad and Tobago Independence Act 1962,8/31/1962
69,Burundi,1.0,Jul,Independence Day,1962.0,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],7/1/1962
70,Rwanda,1.0,Jul,Independence Day,1962.0,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],7/1/1962
71,Zambia,24.0,Oct,Independence Day,1964.0,United Kingdom,Effective date of the Zambia Independence Act 1964,10/24/1964
72,Central African Republic,1.0,Dec,National Day,1958.0,France,Effective date when Central African Republic became an autonomous republic of the French Community[33],12/1/1958
73,Chad,28.0,Nov,Republic Day,1958.0,France,Effective date when Chad became an autonomous republic in the French Community[36],11/28/1958
74,"Congo, Republic of the",28.0,Nov,Republic Day,1958.0,France,Effective date when Congo became an autonomous republic in the French Community[43],11/28/1958
75,Burkina Faso,11.0,Dec,Proclamation of Independence Day,1958.0,France,Effective date when French Upper Volta became an autonomous republic in the French Community,12/11/1958
76,Belize,21.0,Sep,Independence Day,1981.0,United Kingdom,Effective day of the Belize Act 1981[17],9/21/1981
77,Syria,17.0,Apr,Evacuation Day,1946.0,France,End of the French Mandate of Syria in 1946.,4/17/1946
78,Chile,18.0,Sep,Independence Day (part of Fiestas Patrias),1810.0,Spanish Empire,"Establishment of the Government Junta of Chile.[37] The following day, September 19, is celebrated as the Army Day.[38] The two holidays collectively are known as Fiestas Patrias.[39]",9/18/1810
79,Estonia,24.0,Feb,Independence Day,1918.0,Russian Soviet Federative Socialist Republic,Estonian Declaration of Independence,2/24/1918
80,Estonia,20.0,Aug,Day of Restoration of Independence[55],1991.0,Soviet Union[55],Estonian Restoration of Independence,8/20/1991
81,Finland,6.0,Dec,Independence Day,1917.0,Russian Soviet Federative Socialist Republic,Finnish Declaration of Independence,12/6/1917
