id,ORGANIZATION,SITE,LATITUDE,LONGITUDE,DATE,AVERAGE SURFACE TEMPERATURE (degrees C),NUMBER OF SAMPLES TAKEN
205,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/26/2020,13.7,3.0
206,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/26/2020,11.6,1.0
207,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/26/2020,12.9,9.0
208,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,10/26/2020,13.3,1.0
209,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/27/2020,18.5,9.0
210,Boston University School of Education GLOBE v-School,BU Marshal Chapel,42.206,-71.624,10/27/2020,14.0,9.0
211,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/27/2020,11.3,3.0
212,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/28/2020,10.0,1.0
213,Boston University School of Education GLOBE v-School,Knyvet Square Brookline,42.347932,-71.114776,10/28/2020,12.1,5.0
214,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/29/2020,7.7,3.0
215,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/29/2020,10.1,8.0
216,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/31/2020,6.8,9.0
217,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/1/2020,11.7,9.0
218,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/2/2020,4.4,3.0
219,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/2/2020,6.7,1.0
220,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/2/2020,0.5,9.0
221,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,11/2/2020,2.8,1.0
222,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/3/2020,3.2,9.0
223,Boston University School of Education GLOBE v-School,BU Marshal Chapel,42.206,-71.624,11/3/2020,4.0,9.0
224,Boston University School of Education GLOBE v-School,BU Marshal Chapel,42.206,-71.624,11/3/2020,3.9,9.0
225,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/4/2020,10.9,3.0
226,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/4/2020,11.7,1.0
227,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/4/2020,6.2,9.0
228,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,11/4/2020,7.1,3.0
229,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/4/2020,12.3,9.0
230,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,11/5/2020,22.2,9.0
231,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,11/5/2020,9.6,3.0
232,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/9/2020,28.3,3.0
233,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/9/2020,15.0,1.0
234,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/9/2020,9.5,9.0
235,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,11/9/2020,16.0,1.0
236,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,11/9/2020,12.0,3.0
237,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/11/2020,20.1,3.0
238,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/11/2020,22.2,1.0
239,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/11/2020,18.0,9.0
240,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,11/11/2020,9.4,3.0
241,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/11/2020,20.0,9.0
242,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,11/12/2020,12.7,3.0
243,Boston University School of Education GLOBE v-School,Cambridge Park,42.3689,-71.0689,11/13/2020,18.8,6.0
244,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/15/2020,9.2,9.0
245,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/16/2020,12.1,3.0
246,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/16/2020,11.1,1.0
247,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/16/2020,11.3,9.0
248,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,11/16/2020,7.4,3.0
249,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/16/2020,13.8,9.0
250,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,11/18/2020,-2.4,3.0
251,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,11/18/2020,0.5,1.0
252,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,11/18/2020,-5.7,9.0
253,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,11/18/2020,19.2,3.0
254,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,11/18/2020,-1.0,9.0
255,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,11/19/2020,0.5,3.0
