id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
307,Tuscany Crossing,160 km,Castiglioned'Orcia(SI),Italy,160.9,5590.0,-5570.0,13.0
308,Ultra-Trail Mt. Fuji,UTMF - Full Course 165km,Fuji,Japan,165.9,7620.0,-7620.0,9.0
309,Ultra-Trail® Drakensberg,UTD 160,Underberg,South Africa,163.3,5610.0,-6740.0,8.0
310,Iznik Ultra,160 K,Iznik,Turkey,162.5,4470.0,-4470.0,12.0
311,Mustang Trail Race,Mustang Trail Race,Kathmandu,Nepal,169.0,10010.0,-9310.0,8.0
312,100 Miles Of Istria,RED,Umag,Croatia,169.6,6360.0,-6640.0,12.0
313,Hellbender 100 Mile,Hellbender 100 Mile,OldFort,United States,158.0,7470.0,-7440.0,11.0
314,Jiangnan 100-Mile Endurance Run,100Mile / 168Km,Ningbo,China,159.8,7350.0,-7350.0,13.0
315,Patagonia Run,100 Millas,SanMartinDeLosAndes,Argentina,158.0,7190.0,-7190.0,16.0
316,Ultra Beast,Ultra Beast  161Km,POKARAN,India,162.3,3430.0,-3430.0,9.0
317,Badger Mountain Challenge,100 Mile,Kennewick,United States,158.6,4450.0,-4430.0,18.0
318,Northburn 100 Miler,100 Mile,Cromwell,New Zealand,162.4,9810.0,-9820.0,12.0
319,Addo Elephant Trail Run,100 Mile,Addo,South Africa,161.2,5640.0,-5130.0,16.0
320,MesaStila 100,65 Km,Magelang,Indonesia,67.4,3620.0,-3580.0,4.0
321,Ultra Trail Huang Shan,170 Km,Huangshan,China,171.8,9490.0,-9480.0,14.0
322,Antelope Canyon,100 Mile,Page,United States,159.4,1850.0,-1850.0,10.0
323,Epic Camí de Cavalls 360º,TrailRun e3/t2,EsMercadal,Spain,155.0,3800.0,-3580.0,11.0
324,Les Traces du Nord Basse-Terre,L'Ultra-Trail®,Petit-Bourg,France,161.4,6240.0,-6240.0,14.0
325,100 MILLAS® SIERRAS DEL BANDOLERO,100 Millas,PradodelRey,Spain,164.0,6720.0,-6730.0,14.0
326,Victoria 162,V162,HongKong,"Hong Kong, China",163.87,8140.0,-8140.0,18.0
327,Victoria 162,V162 Team,HongKong,"Hong Kong, China",163.87,8140.0,-8140.0,18.0
328,Victoria 162,3-day Race,HongKong,"Hong Kong, China",163.0,8140.0,-8210.0,16.0
329,Victoria 162,3-day Race Team,HongKong,"Hong Kong, China",163.0,8140.0,-8220.0,16.0
330,Lone Star 100,100M,ElPaso,United States,158.6,5930.0,-5850.0,9.0
331,Tarawera 100 Mile Endurance Run,100 Mile Endurance Run,Rotorua,New Zealand,161.4,4890.0,-4890.0,14.0
332,Mad Fox Ultra,Ultra Valhalla Race,RostovtheGreat,Russia,159.9,1680.0,-1680.0,10.0
333,Rocky Raccoon,100 Mile,Huntsville,United States,163.1,2260.0,-2260.0,19.0
334,Coldwater Rumble,100 Miles,Goodyear,United States,161.5,2020.0,-2010.0,16.0
335,Rialp Matxicots,MARATÓ,RIALP,Spain,48.3,3950.0,-3980.0,7.0
336,Montane Spine Races,MRT Challenge,Edale,United Kingdom,174.2,4770.0,-4770.0,4.0
337,Sandsjöbacka Trail,Ultra Triple,Åsa,Sweden,167.0,3360.0,-3220.0,13.0
338,S1 Trail La Corsa Della Bora,Ultra,TRIESTE,Italy,164.2,6720.0,-6720.0,9.0
339,Ultra-Trail® Tai Mo Shan,UTMT,NT,"Hong Kong, China",155.2,7640.0,-7620.0,12.0
340,UTSZ Trail Races,100Miles,shenzhen,China,162.5,7200.0,-7170.0,16.0
341,La Mision 2018 - VLA,La Mision 160 Km,VillalaAngostura,Argentina,163.3,7240.0,-7240.0,1.0
342,Brazos Bend 100,100 M,Needville,United States,162.3,2730.0,-2720.0,6.0
343,The Hitchcock Experience,100 Mile,HoneyCreek,United States,161.4,5050.0,-5050.0,21.0
344,Tjörnarparen - Trail Ultra,100 miles,TJÖRNARP,Sweden,162.1,2290.0,-2310.0,9.0
